Order	Family	Species	Median	Genome Size (Mb)	Assembly Level	Repeats	Gene Number	WGD events	Reference	DOI	WGDeventscount
Apiales	Apiaceae	Apium graveolens	11	2210	chromosome	68.88%	34277	Epsilon+Gamma+WGD+WGD	Li et al., 2020	https://doi.org/10.1038/s41438-019-0235-2	4
Apiales	Apiaceae	Centella asiatica	9	430	chromosome	56.38%	27785	Epsilon+Gamma+WGD	Pootakham et al., 2021	https://doi.org/10.1016/j.ygeno.2021.05.019	3
Apiales	Apiaceae	Daucus carota subsp. carota	9	473	chromosome	46.00%	32113	Epsilon+Gamma+WGD+WGD	Iorizzo et al., 2016	https://doi.org/10.1038/ng.3565	4
Apiales	Apiaceae	Oenthe sinensis Dunn	21	886.77	chromosome	62.02%	54711	Epsilon+Gamma+WGD+WGD+WGD	Liu et al., 2023	https://doi.org/10.1016/j.indcrop.2022.116203	5
Apiales	Apiaceae	Peucedanum praeruptorum	11	1830	chromosome	78.64%	44525	Epsilon+Gamma+WGD+WGD	Song et al., 2024	https://doi.org/10.1016/j.ijbiomac.2023.128218	4
Apiales	Araliaceae	Pax ginseng C. A. Meyer	24	3300	chromosome	79.52%	59352	Epsilon+Gamma+WGD	Kim et al., 2018	https://doi.org/10.1111/pbi.12926	3
Apiales	Araliaceae	Pax japonicus	24	2020	chromosome		74,307	Epsilon+Gamma+WGD+WGD	Wang et al., 2022	https://doi.org/10.1038/s41467-022-29561-5	4
Apiales	Araliaceae	Pax notoginseng	12	2310	chromosome	88.20%	47870	Epsilon+Gamma+WGD	Yang et al., 2021	https://doi.org/10.1111/pbi.13558	3
Apiales	Araliaceae	Pax stipuleatus 	12	1960	chromosome		41,224	Epsilon+Gamma+WGD	Wang et al., 2022	https://doi.org/10.1038/s41467-022-29561-5	3
Aquifoliales	Aquifoliaceae	Ilex latifolia	20	765.94	chromosome	53.00%	35218	Epsilon+Gamma+WGT	Xu et al., 2022	https://doi.org/10.3389/fpls.2022.982323	3
Aquifoliales	Aquifoliaceae	Ilex polyneura	20	729.31	chromosome	57.62%	32838	Epsilon+Gamma+WGT	Yao et al., 2022	https://doi.org/10.1093/hr/uhab049	3
Arecales	Arecaceae	Areca catechu	16	2700	chromosome	69.19%	31406	Epsilon+Tau+WGD	Zhou et al., 2022	https://doi.org/10.1111/nph.18471	3
Arecales	Arecaceae	Areca catechu-Reyan	16	2510	chromosome	82.20%	31571	Epsilon+Tau+WGD	Yang et al., 2021	https://doi.org/10.1111/1755-0998.13446	3
Arecales	Arecaceae	Calamus simplicifolius	12	1980	chromosome	54.15%	51235	Epsilon+Tau+WGD	Zhao et al., 2018	https://doi.org/10.1093/gigascience/giy097	3
Arecales	Arecaceae	Cocos nucifera	16	2420	chromosome	72.75%	28039	Epsilon+Tau+WGD	Yang et al., 2021	https://doi.org/10.1038/s42003-020-01593-x	3
Arecales	Arecaceae	Daemonorops jenkinsia	13	1610	chromosome	70.00%	53342	Epsilon+Tau+WGD	Zhao et al., 2018	https://doi.org/10.1093/gigascience/giy097	3
Arecales	Arecaceae	Elaeis guineensis	16	1700	chromosome	73.70%	33447	Epsilon+Tau+WGD	Wang et al., 2023	https://doi.org/10.1016/j.gpb.2022.11.002	3
Arecales	Arecaceae	Elaeis guineensis	16	1535	chromosome	47%	34802	Epsilon+Tau+WGD	Singh et al., 2013	https://doi.org/10.1038/ture12309	3
Arecales	Arecaceae	Elaeis guineensis Jacq.	16	1800	chromosome		26059	Epsilon+Tau+WGD	Sanusi et al., 2023	https://doi.org/10.1016/j.compbiolchem.2022.107801	3
Arecales	Arecaceae	Metroxylon sagu Rottboll	16	510	scaffold		33242	Epsilon+Tau+WGD	KitLim et al., 2022	https://doi.org/10.1016/j.dib.2022.107800	3
Arecales	Arecaceae	Phoenix dactylifera	18	671	chromosome	38.41%	41660	Epsilon+Tau+WGD	Al-Mssallem et al., 2013	https://doi.org/10.1038/ncomms3274	3
Asparagales	Amaryllidaceae	Agapanthus africanus	15	20167	chromosome	94.36%	87418	Epsilon+Tau+WGD+WGD	Hao et al., 2023	https://doi.org/10.1038/s41588-023-01546-0	4
Asparagales	Amaryllidaceae	Allium cepa	8	13600	chromosome	72.40%	47066	Epsilon+Tau+WGD+WGD+WGD	Finkers et al., 2021	https://doi.org/10.1093/g3jourl/jkab243	5
Asparagales	Amaryllidaceae	Allium cepa	8	15941	chromosome	93.79%	61619	Epsilon+Tau+WGD+WGD+WGD	Hao et al., 2023	https://doi.org/10.1038/s41588-023-01546-0	5
Asparagales	Amaryllidaceae	Allium fistulosum	8	11970	chromosome	69.81%	62255	Epsilon+Tau+WGD+WGD+WGD	Liao et al., 2022	https://doi.org/10.1038/s41467-022-34491-3	5
Asparagales	Amaryllidaceae	Allium fistulosum	8	11674	chromosome	92.10%	50234	Epsilon+Tau+WGD+WGD+WGD	Hao et al., 2023	https://doi.org/10.1038/s41588-023-01546-0	5
Asparagales	Amaryllidaceae	Allium sativum	8	16900	chromosome	91.30%	57561	Epsilon+Tau+WGD+WGD+WGD	Sun et al., 2020	https://doi.org/10.1016/j.molp.2020.07.019	5
Asparagales	Amaryllidaceae	Allium sativum	8	16462	chromosome	92.75%	57183	Epsilon+Tau+WGD+WGD+WGD	Hao et al., 2023	https://doi.org/10.1038/s41588-023-01546-0	5
Asparagales	Asparagaceae	Asparagus kiusianus	10	1618.9	chromosome	68.10%	57523	Epsilon+Tau+WGD	Shirasawa et al., 2022	https://doi.org/10.1093/dres/dsac002	3
Asparagales	Asparagaceae	Asparagus setaceus	10	720	chromosome	64.43%	28410	Epsilon+Tau+WGD	Li et al., 2020	https://doi.org/10.1038/s41438-020-0271-y	3
Asparagales	Asphodelaceae	Aloe vera	7	12930	scaffold	82.66%	86177	Epsilon+Tau+WGD	Jaiswal et al., 2021	"https://doi.org/10.1016/j.isci.
2021.102079"	3
Asparagales	Asphodelaceae	Hemerocallis citri	11	3800	chromosome	86.20%	54295	Epsilon+Tau+WGD	Qing et al., 2021	https://doi.org/10.1038/s41438-021-00539-6	3
Asparagales	Orchidaceae	Apostasia ramifera		332.24	scaffold	44.99%	22841	Epsilon+Tau+WGD	Zhang et al., 2021	https://doi.org/10.1186/s12864-021-07852-3	3
Asparagales	Orchidaceae	Apostasia shenzhenica	34	471	scaffold	42.05%	21841	Epsilon+Tau+WGD	Zhang et al., 2017	https://doi.org/10.1038/ture23897	3
Asparagales	Orchidaceae	Bletilla striata	16	5060	chromosome		53564	Epsilon+Tau+WGD	Jiang et al., 2022	https://doi.org/10.1111/tpj.15892	3
Asparagales	Orchidaceae	Cymbidium ensifolium	20	3620	chromosome	80.58%	29073	Epsilon+Tau+WGD	Ai et al., 2021	https://doi.org/10.1038/s41438-021-00683-z	3
Asparagales	Orchidaceae	Cymbidium goeringii	20	3800	chromosome	88.87%	29556	Epsilon+Tau+WGD	Chung et al., 2021	https://doi.org/10.1111/1755-0998.13537	3
Asparagales	Orchidaceae	Cymbidium sinense	20	3520	chromosome	77.78%	29638	Epsilon+Tau+WGD	Yang et al., 2021	https://doi.org/10.1111/pbi.13676	3
Asparagales	Orchidaceae	Dendrobium catetum Lindl.	19	1110	scaffold	78.10%	28910	Epsilon+Tau+WGD	Zhang et al., 2016	https://doi.org/10.1038/srep19029	3
Asparagales	Orchidaceae	Dendrobium chrysotoxum	19	1380	chromosome	62.81%	30044	Epsilon+Tau+WGD	Zhang et al., 2021	https://doi.org/10.1038/s41438-021-00621-z	3
Asparagales	Orchidaceae	Dendrobium huoshanense	19	1290	chromosome	74.92%	21070	Epsilon+Tau+WGD	Han et al., 2020	https://doi.org/10.1093/gbe/evaa215	3
Asparagales	Orchidaceae	Dendrobium officile	19	1210	chromosome	76.77%	27631	Epsilon+Tau+WGD	Niu et al., 2021	https://doi.org/10.1016/j.apsb.2021.01.019	3
Asparagales	Orchidaceae	Gastrodia elata	18	1180	scaffold	66.18%	18969	Epsilon+Tau+WGD	Yuan et al., 2018	https://doi.org/10.1038/s41467-018-03423-5	3
Asparagales	Orchidaceae	Gastrodia menghaiensis	18	987	chromosome	62.57%	17948	Epsilon+Tau+WGD	Jiang et al., 2022	https://doi.org/10.1186/s12870-022-03573-1	3
Asparagales	Orchidaceae	Phalaenopsis aphrodite	19	1200	chromosome	60.30%	28902	Epsilon+Tau+WGD	Chao et al., 2018	https://doi.org/10.1111/pbi.12936	3
Asparagales	Orchidaceae	Phalaenopsis equestris	19	1160	scaffold	62.00%	29431	Epsilon+Tau+WGD	Cai et al., 2015	https://doi.org/10.1038/ng.3149	3
Asparagales	Orchidaceae	Vanilla planifolia	16	4090	chromosome	72.00%	59128	Epsilon+Tau+WGD	Piet et al., 2022	https://doi.org/10.1016/j.xplc.2022.100330	3
Asterales	Asteraceae	Arctium lappa	18	1821.08	chromosome	68.46%	32771	Epsilon+Gamma+WGT	Yang et al., 2021	https://doi.org/10.1111/1755-0998.13547	3
Asterales	Asteraceae	Artemisia annua	9	1740	scaffold	61.57%	63230	Epsilon+Gamma+WGT	Shen et al., 2018	https://doi.org/10.1016/j.molp.2018.03.015	3
Asterales	Asteraceae	Artemisia tridentata	9	4190	chromosome	77.99%	43377	Epsilon+Gamma+WGT	Melton et al., 2022	https://doi.org/10.1093/g3jourl/jkac122	3
Asterales	Asteraceae	Carthamus tinctorius	12	1170	chromosome	60.13%	33343	Epsilon+Gamma+WGT	Wu et al., 2021	https://doi.org/10.1111/pbi.13586	3
Asterales	Asteraceae	Chrysanthemum indicum	9	3080	chromosome	74.71%	68186	Epsilon+Gamma+WGT	Hou et al., 2024	https://doi.org/10.1111/tpj.16854	3
Asterales	Asteraceae	Chrysanthemum lavandulifolium	9	2640	chromosome	66.67%	64257	Epsilon+Gamma+WGT	Wen et al., 2022	https://doi.org/10.1093/hr/uhab022	3
Asterales	Asteraceae	Chrysanthemum makinoi	9	1720	chromosome	80.04%	95064	Epsilon+Gamma+WGT	Lieshout et al., 2022	https://doi.org/10.1093/g3jourl/jkab358	3
Asterales	Asteraceae	Chrysanthemum nkingense	9	3070	scaffold	69.60%	56870	Epsilon+Gamma+WGT	Song et al., 2018	https://doi.org/10.1016/j.molp.2018.10.003	3
Asterales	Asteraceae	Chrysanthemum seticuspe	9	3150	chromosome	80.00%	74259	Epsilon+Gamma+WGT	kano et al., 2021	https://doi.org/10.1038/s42003-021-02704-y	3
Asterales	Asteraceae	Cichorium endivia	18	649	chromosome	60.26%	46711	Epsilon+Gamma+WGT	Zhang et al., 2022	https://doi.org/10.1016/j.ygeno.2022.110400	3
Asterales	Asteraceae	Conyza cadensis	9	374	scaffold	54.54%	44592	Epsilon+Gamma+WGT	Peng et al., 2014	https://doi.org/10.1104/pp.114.247668	3
Asterales	Asteraceae	Erigeron breviscapus	9	1520	chromosome	67.42%	43514	Epsilon+Gamma+WGT	He et al., 2020	https://doi.org/10.1111/1755-0998.13257	3
Asterales	Asteraceae	Glebionis cororia	9	6900	chromosome	93.10%	104192	Epsilon+Gamma+WGT+WGD+WGD	Wang et al., 2022	https://doi.org/10.1093/dres/dsac036	5
Asterales	Asteraceae	Helianthus annuus	17	3500	chromosome	81.10%	52232	Epsilon+Gamma+WGT+WGD	Badouin et al., 2017	https://doi.org/10.1038/ture22380	4
Asterales	Asteraceae	Lactuca sativa	9	2500	chromosome	74.20%	38919	Epsilon+Gamma+WGT	Reyes-Chin-Wo et al., 2017	https://doi.org/10.1038/ncomms14953	3
Asterales	Asteraceae	Mikania micrantha Kunth	19	1860	chromosome	73.36%	46351	Epsilon+Gamma+WGT+WGD	Liu et al., 2020	https://doi.org/10.1038/s41467-019-13926-4	4
Asterales	Asteraceae	Smallanthus sonchifolius	29	2600	chromosome	85.00%	89960	Epsilon+Gamma+WGT+WGD+WGD	Fan et al., 2022	https://doi.org/10.1111/1755-0998.13675	5
Asterales	Asteraceae	Stevia rebaudia Bertoni	11	1160	chromosome	80.11%	44143	Epsilon+Gamma+WGT+WGD	Xu et al., 2021	https://doi.org/10.1038/s41438-021-00565-4	4
Asterales	Asteraceae	Taraxacum kok-saghyz	8	1101.79	chromosome	75.93%	45224	Epsilon+Gamma+WGT	Lin et al., 2022	https://doi.org/10.1007/s11427-021-2033-2	3
Asterales	Asteraceae	Taraxacum kok-saghyz Rodin	8	1290	scaffold	68.56%	46731	Epsilon+Gamma+WGT	Lin et al., 2018	https://doi.org/10.1093/nsr/nwx101	3
Asterales	Asteraceae	Taraxacum mongolicum	8	790	chromosome	71.94%	45553	Epsilon+Gamma+WGT	Lin et al., 2022	https://doi.org/10.1007/s11427-021-2033-2	3
Asterales	Campanulaceae	Platycodon grandiflorus	9	683.3	chromosome	36.20%	40017		Kim et al., 2020	https://doi.org/10.1038/s41438-020-0329-x	
Boragiles	Boragiceae	Lithospermum erythrorhizon	14	369.34	scaffold	51.78%	27720		Auber et al., 2020	https://doi.org/10.1038/s41438-020-0301-9	
Brassicales	Akaniaceae	Bretschneidera sinensis	9	1210	chromosome	55.21%	45839	Epsilon+Gamma+Beta	Zhang et al., 2022	https://doi.org/10.1093/gigascience/giac050	3
Brassicales	Brassicaceae	Aethionema arabicum	11	320	chromosome	45.90%	24932	Epsilon+Gamma+Beta+AtAlpha	Nguyen et al., 2019	https://doi.org/10.1111/tpj.15161	4
Brassicales	Brassicaceae	Arabidopsis arenosa	13	307	chromosome		45585	Epsilon+Gamma+Beta+AtAlpha+WGD	Burns et al., 2021	https://doi.org/10.1038/s41559-021-01525-w	5
Brassicales	Brassicaceae	Arabidopsis halleri	8	250	chromosome		32553	Epsilon+Gamma+Beta+AtAlpha	Briskine et al., 2016	https://doi.org/10.1111/1755-0998.12604	4
Brassicales	Brassicaceae	Arabidopsis halleri gemmifera	8	196	scaffold	20.80%		Epsilon+Gamma+Beta+AtAlpha	Legrand et al., 2019	https://doi.org/10.1186/s13100-019-0171-6	4
Brassicales	Brassicaceae	Arabidopsis halleri halleri	8	174	scaffold	15.20%		Epsilon+Gamma+Beta+AtAlpha	Legrand et al., 2019	https://doi.org/10.1186/s13100-019-0171-6	4
Brassicales	Brassicaceae	Arabidopsis lyrata subsp lyrata	8	230	chromosome	27.80%	32670	Epsilon+Gamma+Beta+AtAlpha	Hu et al., 2011	https://doi.org/10.1038/ng.807	4
Brassicales	Brassicaceae	Arabidopsis thalia Col-0	5	157	chromosome	19.10%	27655	Epsilon+Gamma+Beta+AtAlpha	Cheng et al., 2016; The Arabidopsis Genome Initiative 2000	https://doi.org/10.1111/tpj.13415	4
Brassicales	Brassicaceae	Arabidopsis thalia Col-PEK	5	134	chromosome	26.58%	27416	Epsilon+Gamma+Beta+AtAlpha	Hou et al., 2022	https://doi.org/10.1016/j.molp.2022.05.014	4
Brassicales	Brassicaceae	Arabis alpi	8	370	chromosome	50.48%	29470	Epsilon+Gamma+Beta+AtAlpha	Jiao et al., 2017	https://doi.org/10.1101/gr.213652.116	4
Brassicales	Brassicaceae	Boechera fecunda	7	188.8	scaffold	35.00%	28501	Epsilon+Gamma+Beta+AtAlpha	Zhang et al., 2020	https://doi.org/10.3389/fevo.2020.550936	4
Brassicales	Brassicaceae	Boechera retrofracta	7	226.87	scaffold	38.13%	27048	Epsilon+Gamma+Beta+AtAlpha	Kliver et al., 2018	https://doi.org/10.3390/genes9040185	4
Brassicales	Brassicaceae	Brassica carita	17	642	chromosome	58.34%	97149	Epsilon+Gamma+Beta+AtAlpha+BrAlpha+WGD	Song et al., 2021	https://doi.org/10.1093/plphys/kiab048	6
Brassicales	Brassicaceae	Brassica cretica	9	332.3	chromosome		63131	Epsilon+Gamma+Beta+AtAlpha+BrAlpha	Kioukis et al., 2020	https://doi.org/10.1186/s12864-019-6439-x	5
Brassicales	Brassicaceae	Brassica juncea var. tumida	18	922	chromosome	34.28%	80050	Epsilon+Gamma+Beta+AtAlpha+BrAlpha+WGD	Yang et al., 2016	https://doi.org/10.1038/ng.3657	6
Brassicales	Brassicaceae	Brassica pus	19	862	chromosome	53.86%	108190	Epsilon+Gamma+Beta+AtAlpha+BrAlpha+WGD	Gueutin et al., 2020	https://doi.org/10.1093/gigascience/giaa137	6
Brassicales	Brassicaceae	Brassica nigra	8	560	chromosome	57.53%	54855	Epsilon+Gamma+Beta+AtAlpha+BrAlpha	Yang et al., 2022	https://doi.org/10.1111/tpj.16043	5
Brassicales	Brassicaceae	Brassica oleracea	9	630	chromosome	38.80%	45758	Epsilon+Gamma+Beta+AtAlpha+BrAlpha	Liu et al., 2014	https://doi.org/10.1038/ncomms4930	5
Brassicales	Brassicaceae	Brassica rapa	10	455	chromosome	53.78%	47531	Epsilon+Gamma+Beta+AtAlpha+BrAlpha	Zhang et al., 2018; Zhang et al., 2023	https://doi.org/10.1038/s41438-018-0071-9	5
Brassicales	Brassicaceae	Brassica rapa var. parachinensis	10	384	chromosome	52.00%	47598	Epsilon+Gamma+Beta+AtAlpha+BrAlpha	Li et al., 2023	https://doi.org/10.3390/plants12132498	5
Brassicales	Brassicaceae	Cameli neglecta	6	210	chromosome	45.30%	26595	Epsilon+Gamma+Beta+AtAlpha	Wang et al., 2024	https://doi.org/10.1186/s13068-024-02466-9	4
Brassicales	Brassicaceae	Cameli sativa	20	785	chromosome	28.00%	89418	Epsilon+Gamma+Beta+AtAlpha+WGT	Kagale et al., 2014	https://doi.org/10.1038/ncomms4706	5
Brassicales	Brassicaceae	Capsella bursa-pastoris	16	410	scaffold		53502	Epsilon+Gamma+Beta+AtAlpha+WGD	Kasianov et al., 2017	https://doi.org/10.1111/tpj.13563	5
Brassicales	Brassicaceae	Capsella rubella	8	219	chromosome	45.00%	26521	Epsilon+Gamma+Beta+AtAlpha	Slotte et al., 2013	https://doi.org/10.1038/ng.2669	4
Brassicales	Brassicaceae	Cardamine enshiensis	16	481.37	chromosome	61.40%	52725	Epsilon+Gamma+Beta+AtAlpha+WGD	Huang et al., 2021	https://doi.org/10.1038/s41421-021-00286-x	5
Brassicales	Brassicaceae	Cardamine hirsuta	8	225	chromosome	40.00%	29458	Epsilon+Gamma+Beta+AtAlpha	Gan et al., 2016	https://doi.org/10.1038/nplants.2016.167	4
Brassicales	Brassicaceae	Conringia planisiliqua	7	224	scaffold	36.53%	34766	Epsilon+Gamma+Beta+AtAlpha	Jiao et al., 2017	https://doi.org/10.1101/gr.213652.116	4
Brassicales	Brassicaceae	Crucihimalaya himalaica	8	265.23	chromosome	46.91%	27019	Epsilon+Gamma+Beta+AtAlpha	Zhang et al., 2019	https://doi.org/10.1073/ps.1817580116	4
Brassicales	Brassicaceae	Crucihimalaya lasiocarpa	8	253.6	chromosome	52.58%	24169	Epsilon+Gamma+Beta+AtAlpha	Feng et al., 2022	https://doi.org/10.1093/dres/dsac004	4
Brassicales	Brassicaceae	Draba nivalis	8	254	chromosome	34.04%	33557	Epsilon+Gamma+Beta+AtAlpha	Nowak et al., 2020	https://doi.org/10.1111/1755-0998.13280	4
Brassicales	Brassicaceae	Eruca sativa	11	851	scaffold	66.30%	45438	Epsilon+Gamma+Beta+AtAlpha	Kyriakidou et al., 2018	https://doi.org/10.3389/fpls.2018.01660	4
Brassicales	Brassicaceae	Euclidium syriacum	7	262	scaffold	37.71%	33001	Epsilon+Gamma+Beta+AtAlpha	Jiao et al., 2017	https://doi.org/10.1101/gr.213652.116	4
Brassicales	Brassicaceae	Eutrema heterophyllum	7	405	scaffold	67.00%	29606	Epsilon+Gamma+Beta+AtAlpha	Guo et al., 2018	https://doi.org/10.1093/dres/dsy003	4
Brassicales	Brassicaceae	Eutrema salsugineum	7	243	chromosome	51.40%	26351	Epsilon+Gamma+Beta+AtAlpha	Yang et al., 2013	https://doi.org/10.3389/fpls.2013.00046	4
Brassicales	Brassicaceae	Eutrema yunnense	7	423	scaffold	70.00%	28881	Epsilon+Gamma+Beta+AtAlpha	Guo et al., 2018	https://doi.org/10.1093/dres/dsy003	4
Brassicales	Brassicaceae	Heliophila variabilis	11	334	chromosome	43.87%	32351	Epsilon+Gamma+Beta+AtAlpha+WGD+WGD	Huang et al., 2023	https://doi.org/10.1111/tpj.16383	6
Brassicales	Brassicaceae	Isatis indigotica	7	279.9	chromosome	53.27%	30323	Epsilon+Gamma+Beta+AtAlpha	Kang et al., 2020	https://doi.org/10.1038/s41438-020-0240-5	4
Brassicales	Brassicaceae	Lepidium meyenii Walp	32	751	scaffold	47.65%	96417	Epsilon+Gamma+Beta+AtAlpha+2xWGD	Zhang et al., 2016	https://doi.org/10.1016/j.molp.2016.04.016	6
Brassicales	Brassicaceae	Lepidium sativum	8	380	scaffold		25668	Epsilon+Gamma+Beta+AtAlpha	Patat et al., 2022	https://doi.org/10.1007/s10142-022-00866-4	4
Brassicales	Brassicaceae	Megacarpaea delavayi	9	899	scaffold	61.59%	41114	Epsilon+Gamma+Beta+AtAlpha+WGD	Yang et al., 2020	https://doi.org/10.3389/fgene.2020.00812	5
Brassicales	Brassicaceae	Megadenia pygmaea	6	215.2	chromosome	42.66%	25607	Epsilon+Gamma+Beta+AtAlpha	Yang et al., 2020	https://doi.org/10.1111/1755-0998.13291	4
Brassicales	Brassicaceae	Orychophragmus violaceus	12	1270	chromosome	74.89%	61097	Epsilon+Gamma+Beta+AtAlpha+WGD	Huang et al., 2022	https://doi.org/10.1016/j.xplc.2022.100432	5
Brassicales	Brassicaceae	Pugionium cornutum	11	570	chromosome	72.80%	31412	Epsilon+Gamma+Beta+AtAlpha+WGD	Hu et al., 2021	https://doi.org/10.1073/ps.2025711118	5
Brassicales	Brassicaceae	Pugionium dolabratum	11	606	chromosome	65.00%	30614	Epsilon+Gamma+Beta+AtAlpha+WGD	Hu et al., 2021	https://doi.org/10.1073/ps.2025711118	5
Brassicales	Brassicaceae	Raphanus sativus	9	498.5	chromosome	50.70%	89915	Epsilon+Gamma+Beta+AtAlpha	Shirasawa et al., 2020	https://doi.org/10.1093/dres/dsaa010	4
Brassicales	Brassicaceae	Rorippa aquatica	15	420	chromosome	46.04%	46197	Epsilon+Gamma+Beta+AtAlpha+WGD	Sakamoto et al., 2022	https://doi.org/10.1101/2022.06.06.494894	5
Brassicales	Brassicaceae	Rorippa aquatica	15	420	chromosome		46197	Epsilon+Gamma+Beta+AtAlpha+WGD	Sakamoto et al., 2024	https://doi.org/10.1038/s42003-024-06088-7	5
Brassicales	Brassicaceae	Schrenkiella parvula	7	140	chromosome	7.46%	30419	Epsilon+Gamma+Beta+AtAlpha	Dassayake et al., 2011	https://doi.org/10.1038/s41467-019-12607-6	4
Brassicales	Brassicaceae	Sipis alba	12	518	chromosome	58.33%	41127	Epsilon+Gamma+Beta+AtAlpha	Yang et al., 2022	https://doi.org/10.1111/tpj.16043	4
Brassicales	Brassicaceae	Sipis arvensis	9	489	chromosome	55.12%	48463	Epsilon+Gamma+Beta+AtAlpha	Yang et al., 2022	https://doi.org/10.1111/tpj.16043	4
Brassicales	Brassicaceae	Sisymbrium irio	7	262	scaffold	38.00%	28917	Epsilon+Gamma+Beta+AtAlpha	Haudry et al., 2013	https://doi.org/10.1038/ng.2684	4
Brassicales	Brassicaceae	Thlaspi arvense	7	459	chromosome	61.00%	27128	Epsilon+Gamma+Beta+AtAlpha	Nunn et al., 2022	https://doi.org/10.1111/pbi.13775	4
Brassicales	Caricaceae	Carica papaya Lineus	9	372	chromosome	51.90%	28629	Epsilon+Gamma+Beta	Ming et al., 2008	https://doi.org/10.1038/ture06856	3
Brassicales	Cleomaceae	Gyndropsis gyndra	17	930.3	chromosome	69.00%	30933	Epsilon+Gamma+Beta+CsAlpha	Hoang et al., 2022	https://doi.org/10.1101/2022.07.09.499295	4
Brassicales	Cleomaceae	Tareya hassleria	10	290	chromosome	43.30%	28917	Epsilon+Gamma+Beta+CsAlpha	Cheng et al., 2013	https://doi.org/10.1105/tpc.113.113480	4
Brassicales	Moringaceae	Moringa oleifera Lam.	14	237	chromosome	38.95%	22714	Epsilon+Gamma+Beta	Chang et al., 2022	https://doi.org/10.1002/tpg2.20238	3
