Rejoined_genes	Rejoined_position	Strand	CR_type
mRNA:RC5G0438300-mRNA:RC5G0458100	Chr05:45898217-49477707	+/-	Inter-chr fusion
mRNA:RC5G0637400-mRNA:RC5G0638400	Chr05:74494298-74576743	+/-	Inter-chr fusion
mRNA:RC5G0660100-mRNA:RC5G0662200	Chr05:76760991-76939574	-/-	Inter-chr fusion
mRNA:RC6G0007200-mRNA:RC6G0020900	Chr06:823826-2091259	-/-	Inter-chr fusion
mRNA:RC6G0211100-mRNA:RC6G0238100	Chr06:24778849-29718652	+/+	Inter-chr fusion
mRNA:RC6G0287400-mRNA:RC6G0292300	Chr06:37777913-38883254	-/+	Inter-chr fusion
mRNA:RC6G0321400-mRNA:RC6G0346800	Chr06:42445514-45397204	+/-	Inter-chr fusion
mRNA:RC6G0438800-mRNA:RC6G0439200	Chr06:54548789-54591814	+/-	Inter-chr fusion
mRNA:RC6G0442500-mRNA:RC6G0443800	Chr06:54914421-55013403	-/-	Inter-chr fusion
mRNA:RC6G0468500-mRNA:RC6G0469500	Chr06:57145765-57233004	-/-	Inter-chr fusion
mRNA:RC6G0531200-mRNA:RC6G0534500	Chr06:61740403-62004304	-/-	Inter-chr fusion
mRNA:RC6G0554700-mRNA:RC6G0555900	Chr06:63437340-63600816	+/-	Inter-chr fusion
mRNA:RC6G0583900-mRNA:RC6G0584100	Chr06:65630955-65696614	-/+	Inter-chr fusion
mRNA:RC7G0002400-mRNA:RC7G0002800	Chr07:234201-254419	+/+	Inter-chr fusion
mRNA:RC7G0086900-mRNA:RC7G0087100	Chr07:6114717-6121368	-/+	Inter-chr fusion
mRNA:RC7G0105400-mRNA:RC7G0107800	Chr07:7891739-8007878	+/+	Inter-chr fusion
mRNA:RC7G0160300-mRNA:RC7G0160600	Chr07:12350720-12378258	-/-	Inter-chr fusion
mRNA:RC7G0342000-mRNA:RC7G0350500	Chr07:32422464-33429331	+/-	Inter-chr fusion
mRNA:RC7G0364100-mRNA:RC7G0367300	Chr07:35233762-35516723	-/-	Inter-chr fusion
mRNA:RC7G0407600-mRNA:RC7G0492600	Chr07:42338643-54262581	-/-	Inter-chr fusion
mRNA:RC7G0570400-mRNA:RC7G0570600	Chr07:65923830-65936720	-/-	Inter-chr fusion
